idno,speech-encoded,author-short,title-short,year,country,source-edition,narrative-perspective,subgenre-theme,subgenre-current
nh0210,no,ZayasEnriquezR,Teniente,1902,Mexico,modern,heterodiegetic,novela histórica,novela realista
nh0211,no,SanchezMarmolM,Pocahontas,1882,Mexico,modern,heterodiegetic,novela política,unknown
nh0212,no,SanchezMarmolM,JuanitaSousa,1890,Mexico,modern,heterodiegetic,novela sentimental,unknown
nh0213,yes,BlancoCM,Salvaje,1891,Argentina,modern,heterodiegetic,novela de costumbres,unknown
nh0214,no,ZentellaA,Perico,1885,Mexico,modern,heterodiegetic,novela de costumbres,novela realista
nh0215,no,CalcagnoF,BuscaEslabon,1888,Cuba,modern,heterodiegetic,novela científica,unknown
nh0216,no,AnconaE,Mestiza,1891,Mexico,modern,heterodiegetic,novela sentimental,novela romántica
nh0217,no,MendezCuencaL,EspejoAmarilis,1902,Mexico,modern,heterodiegetic,novela de costumbres,novela naturalista
nh0218,no,LlanosJ,ArturoSierra,1884,Argentina,modern,heterodiegetic,novela sentimental,unknown
nh0219,yes,CampoE,Camila,1856,Argentina,unknown,heterodiegetic,novela sentimental,novela romántica
nh0220,yes,PuigPuenteF,CampanaTarde,1873,Cuba,first,heterodiegetic,novela de costumbres,novela romántica
nh0221,no,IglesiaA,Alondra,1897,Cuba,first,heterodiegetic,novela social,novela realista
nh0222,no,BungeCO,Xarcas,1903,Argentina,first,heterodiegetic,novela histórica,unknown
nh0223,yes,SolarA,ContraMarea,1894,Argentina,unknown,heterodiegetic,novela social,novela naturalista
nh0224,no,GutierrezE,Cuello,1880,Argentina,historical,heterodiegetic,novela criminal,novela romántica
nh0225,no,GutierrezE,Mazorca,1888,Argentina,historical,heterodiegetic,novela política,novela romántica
nh0226,no,GutierrezE,TragediaDoceAnos,1888,Argentina,historical,heterodiegetic,novela política,novela romántica
nh0227,no,MateosJA,SacerdoteCaudillo,1869,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0228,no,GuiterasFontE,IreneAlbar,1885,Cuba,first,heterodiegetic,novela sentimental,unknown
nh0229,yes,GarciaMerouM,LeySocial,1885,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0230,no,OcantosCM,Zaldivar,1888,Argentina,modern,heterodiegetic,novela sentimental,novela realista
nh0231,no,IglesiaA,PepeAntonio,1903,Cuba,first,heterodiegetic,novela histórica,unknown
nh0232,yes,ParraP,Pacotillas,1900,Mexico,first,heterodiegetic,novela social,novela realista
nh0233,no,SegaleA,AurasAbril,1897,Mexico,first,homodiegetic,novela sentimental,unknown
nh0234,no,RiveraYRioJ,PobresRicos,1884,Mexico,first,heterodiegetic,novela social,novela romántica
nh0235,yes,OcantosCM,Ginesa,1894,Argentina,modern,heterodiegetic,novela social,novela realista
nh0236,yes,MoralesV,Gerardo,1874,Mexico,modern,heterodiegetic,novela moralista,unknown
nh0237,yes,PizarroN,Coqueta,1861,Mexico,modern,heterodiegetic,novela sentimental,novela romántica
nh0238,yes,BetancourtR,FeriaCaridad,1841,Cuba,historical,heterodiegetic,novela de costumbres,novela romántica
nh0239,yes,SanJuanM,Gobernador,1901,Mexico,first,heterodiegetic,novela política,novela realista
nh0240,no,CasteraP,Maduros,1882,Mexico,unknown,heterodiegetic,novela social,novela romántica
nh0241,yes,MoralesV,Epinay,1872,Mexico,modern,heterodiegetic,novela sentimental,unknown
nh0242,yes,HerediaN,HombreNegocios,1882,Cuba,first,heterodiegetic,novela de costumbres,unknown
