idno,enclitics,adjective,conjunction,determiner,noun,pronoun,adverb,adposition,verb,number,date,interjection,common,proper
nh0173,181,49,0,0,101,0,0,0,31,0,0,0,97,4
nh0174,17,0,0,0,12,0,0,0,5,0,0,0,2,10
nh0175,59,6,0,0,37,0,0,0,16,0,0,0,15,22
nh0176,32,6,0,0,20,0,1,0,5,0,0,0,4,16
nh0177,16,1,0,0,13,0,0,0,2,0,0,0,7,6
nh0178,51,6,0,0,36,0,1,0,8,0,0,0,14,22
nh0179,14,2,0,0,8,0,1,0,3,0,0,0,7,1
nh0180,62,4,0,0,50,0,0,0,8,0,0,0,10,40
nh0181,115,6,0,0,101,0,0,0,8,0,0,0,10,91
nh0182,61,1,0,0,53,0,0,0,7,0,0,0,6,47
nh0183,140,17,0,0,91,0,0,0,32,0,0,0,28,63
nh0184,56,4,0,0,47,0,1,0,4,0,0,0,4,43
nh0185,7,1,0,0,5,0,0,0,1,0,0,0,1,4
nh0186,2,0,0,0,1,0,0,0,1,0,0,0,0,1
nh0187,9,3,0,0,3,0,0,0,3,0,0,0,1,2
nh0188,172,34,0,0,105,0,3,0,30,0,0,0,59,46
nh0189,3,2,0,0,1,0,0,0,0,0,0,0,1,0
nh0190,492,102,0,0,273,0,1,0,116,0,0,0,129,144
nh0191,1209,351,0,0,499,0,42,0,316,0,0,1,446,53
nh0192,736,173,0,0,348,0,5,0,210,0,0,0,216,132
nh0193,883,205,0,0,398,0,23,0,257,0,0,0,364,34
nh0194,764,190,0,0,371,0,6,0,197,0,0,0,273,98
nh0195,67,13,0,0,23,0,4,0,27,0,0,0,19,4
nh0196,11,2,0,0,6,0,0,0,3,0,0,0,1,5
nh0197,9,0,0,0,9,0,0,0,0,0,0,0,6,3
nh0198,37,3,0,0,25,0,0,0,9,0,0,0,6,19
nh0199,4,0,0,0,4,0,0,0,0,0,0,0,2,2
nh0200,25,3,0,0,20,0,0,0,2,0,0,0,2,18
nh0201,2,0,0,0,1,0,0,0,1,0,0,0,1,0
nh0202,130,38,0,0,72,0,0,0,20,0,0,0,38,34
nh0203,51,5,0,0,25,0,0,0,21,0,0,0,3,22
nh0204,40,7,0,0,25,0,0,0,8,0,0,0,8,17
nh0205,56,12,0,0,35,0,0,0,9,0,0,0,13,22
nh0206,21,0,0,0,15,0,0,0,6,0,0,0,5,10
nh0207,80,17,0,0,48,0,1,0,14,0,0,0,18,30
nh0208,200,17,0,0,94,0,5,0,84,0,0,0,45,49
nh0209,66,7,0,0,36,0,0,0,23,0,0,0,22,14
nh0210,6,2,0,0,2,0,0,0,2,0,0,0,1,1
nh0211,92,13,0,0,42,0,0,0,37,0,0,0,30,12
nh0212,112,18,0,0,41,0,1,0,52,0,0,0,22,19
nh0213,20,3,0,0,11,0,0,0,6,0,0,0,5,6
nh0214,7,2,0,0,2,0,0,0,3,0,0,0,1,1
nh0215,54,2,0,0,47,0,0,0,5,0,0,0,13,34
nh0216,61,3,0,0,44,0,0,0,14,0,0,0,12,32
nh0217,411,75,0,0,245,0,3,0,88,0,0,0,161,84
nh0218,80,5,0,0,58,0,0,0,17,0,0,0,13,45
nh0219,14,1,0,0,8,0,0,0,5,0,0,0,2,6
nh0220,64,6,0,0,43,0,1,0,14,0,0,0,21,22
nh0221,107,15,0,0,72,0,1,0,19,0,0,0,44,28
nh0222,60,12,0,0,25,0,0,0,23,0,0,0,12,13
nh0223,246,47,0,0,110,0,3,0,86,0,0,0,72,38
nh0224,25,2,0,0,17,0,0,0,6,0,0,0,16,1
nh0225,8,2,0,0,3,0,1,0,2,0,0,0,1,2
nh0226,17,5,0,0,8,0,0,0,4,0,0,0,6,2
nh0227,373,21,0,0,329,0,0,0,23,0,0,0,29,300
nh0228,105,18,0,0,55,0,1,0,31,0,0,0,32,23
nh0229,7,0,0,0,5,0,0,0,2,0,0,0,3,2
nh0230,188,32,0,0,98,0,2,0,56,0,0,0,53,45
nh0231,238,52,0,0,155,0,3,0,28,0,0,0,73,82
nh0232,322,73,0,0,174,0,4,0,71,0,0,0,90,84
nh0233,102,18,0,0,56,0,0,0,28,0,0,0,30,26
nh0234,85,10,0,0,55,0,0,0,20,0,0,0,17,38
nh0235,211,42,0,0,114,0,1,0,54,0,0,0,84,30
nh0236,30,3,0,0,22,0,3,0,2,0,0,0,9,13
nh0237,4,1,0,0,3,0,0,0,0,0,0,0,3,0
nh0238,43,12,0,0,20,0,1,0,10,0,0,0,11,9
nh0239,34,6,0,0,20,0,0,0,8,0,0,0,9,11
nh0240,27,4,0,0,15,0,0,0,8,0,0,0,5,10
nh0241,27,5,0,0,16,0,3,0,3,0,0,0,7,9
nh0242,17,1,0,0,14,0,0,0,2,0,0,0,5,9
nh0243,24,4,0,0,14,0,0,0,6,0,0,0,3,11
nh0244,81,14,0,0,50,0,1,0,16,0,0,0,15,35
nh0245,25,1,0,0,14,0,0,0,10,0,0,0,8,6
nh0246,83,0,0,0,67,0,0,0,16,0,0,0,18,49
nh0247,42,3,0,0,22,0,1,0,16,0,0,0,9,13
nh0248,5,0,0,0,3,0,0,0,2,0,0,0,2,1
nh0249,8,0,0,0,4,0,0,0,4,0,0,0,1,3
nh0250,6,1,0,0,3,0,1,0,1,0,0,0,1,2
nh0251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0252,3,0,0,0,2,0,0,0,1,0,0,0,0,2
nh0253,37,3,0,0,26,0,0,0,8,0,0,0,3,23
nh0254,12,0,0,0,10,0,0,0,2,0,0,0,8,2
nh0255,101,26,0,0,47,0,0,0,28,0,0,0,37,10
nh0256,86,12,0,0,61,0,1,0,12,0,0,0,34,27
